customer_id,segment,R,F,M,RFM_score,recency,frequency,monetary,ticket_count,avg_sentiment,return_rate,avg_discount,sessions_30d,last_campaign_received,manual_priority_bucket
CUST00035,At-Risk,2,3,2,7,127,3,1369.71,0.0,,0.0,0.24333333333333332,6,new_launch,high
CUST00036,Loyal Customers,4,3,3,10,27,4,1737.33,1.0,-0.17,0.25,0.365,0,bundle_discount,medium
CUST00037,New / Low-Engagement,2,1,1,4,102,1,435.83,0.0,,0.0,0.43,5,welcome_offer,high
CUST00038,Loyal Customers,3,3,3,9,51,4,2104.61,1.0,0.13,0.0,0.355,5,bundle_discount,medium
CUST00039,Loyal Customers,5,3,3,11,15,3,1598.49,0.0,,0.0,0.2966666666666667,6,welcome_offer,low
CUST00040,New / Low-Engagement,1,1,1,3,154,1,634.73,1.0,0.0,0.0,0.38,1,none,high
CUST00041,Loyal Customers,3,3,3,9,54,4,1911.8600000000001,1.0,-1.0,0.0,0.3475,5,free_shipping,medium
CUST00042,At-Risk,2,5,5,12,87,9,7523.74,6.0,-0.455,0.2222222222222222,0.21888888888888888,3,none,high
CUST00043,New / Low-Engagement,4,1,1,6,24,1,363.01,0.0,,0.0,0.43,3,welcome_offer,low
CUST00044,Loyal Customers,3,3,4,10,72,3,2724.09,1.0,-1.0,0.0,0.38666666666666666,6,welcome_offer,medium
CUST00045,New / Low-Engagement,2,1,1,4,96,1,413.75,0.0,,0.0,0.33,6,welcome_offer,high
CUST00046,New / Low-Engagement,2,1,1,4,127,1,489.87,0.0,,0.0,0.13,7,new_launch,high
CUST00047,New / Low-Engagement,1,1,1,3,204,1,764.43,0.0,,0.0,0.16,2,free_shipping,high
CUST00048,Loyal Customers,3,3,3,9,61,4,2450.45,1.0,-0.08,0.25,0.3125,12,none,medium
CUST00049,New / Low-Engagement,5,1,1,7,8,1,380.83,0.0,,0.0,0.47,4,new_launch,low
CUST00050,Loyal Customers,5,3,3,11,0,3,2466.39,1.0,-1.0,0.3333333333333333,0.3333333333333333,3,bundle_discount,low
CUST00051,At-Risk,1,3,5,9,210,4,4444.3,2.0,-0.385,0.0,0.3525,6,new_launch,high
CUST00052,Loyal Customers,3,3,4,10,55,3,2807.14,1.0,-1.0,0.3333333333333333,0.21,7,free_shipping,medium
CUST00053,High-Value Unhappy,4,3,5,12,25,4,4192.59,2.0,-0.565,0.0,0.395,9,welcome_offer,medium
CUST00054,New / Low-Engagement,5,1,1,7,6,1,489.85,0.0,,0.0,0.25,3,welcome_offer,low
CUST00055,New / Low-Engagement,5,3,2,10,3,3,1308.35,1.0,-1.0,0.0,0.24666666666666667,6,new_launch,low
CUST00056,Loyal Customers,5,3,4,12,9,4,3530.41,1.0,-0.08,0.0,0.28500000000000003,3,new_launch,medium
CUST00057,New / Low-Engagement,2,2,3,7,136,2,2510.83,0.0,,0.0,0.245,7,none,high
CUST00058,Loyal Customers,4,3,3,10,42,4,2451.54,0.0,,0.0,0.23249999999999998,2,new_launch,medium
CUST00059,Loyal Customers,5,3,4,12,2,3,2852.63,0.0,,0.0,0.32666666666666666,3,new_launch,low
CUST00060,New / Low-Engagement,2,1,1,4,145,1,293.22,0.0,,0.0,0.36,5,none,high
CUST00061,Loyal Customers,5,3,3,11,14,4,1966.0900000000001,1.0,-0.33,0.0,0.41,4,welcome_offer,medium
CUST00062,Loyal Customers,4,3,4,11,21,4,2805.19,1.0,-0.28,0.0,0.2525,9,welcome_offer,low
CUST00063,Dormant,1,1,1,3,216,1,397.69,1.0,-0.03,0.0,0.22,0,bundle_discount,high
CUST00064,New / Low-Engagement,5,1,1,7,2,1,654.93,0.0,,0.0,0.43,8,free_shipping,low
CUST00065,New / Low-Engagement,5,1,3,9,6,1,1911.67,0.0,,0.0,0.0,3,bundle_discount,low
CUST00066,At-Risk,1,4,5,10,320,5,4598.95,1.0,-1.0,0.0,0.292,11,bundle_discount,high
CUST00067,New / Low-Engagement,3,2,2,7,63,2,1246.44,1.0,-0.24,0.5,0.19999999999999998,1,welcome_offer,medium
CUST00068,At-Risk,1,3,3,7,346,3,2123.66,1.0,-1.0,0.3333333333333333,0.24333333333333332,5,bundle_discount,high
CUST00069,New / Low-Engagement,4,2,2,8,29,2,874.47,0.0,,0.0,0.225,9,bundle_discount,low
CUST00070,New / Low-Engagement,4,1,1,6,38,1,542.98,0.0,,0.0,0.34,1,none,high
CUST00071,New / Low-Engagement,4,1,3,8,32,1,2062.5,1.0,-0.29,0.0,0.08,1,free_shipping,high
CUST00072,At-Risk,2,3,4,9,90,4,2587.02,0.0,,0.0,0.1925,7,none,high
CUST00073,Champions,5,4,5,14,8,5,4077.07,0.0,,0.0,0.154,7,none,low
CUST00074,Loyal Customers,5,4,3,12,7,4,2523.65,1.0,-0.35,0.25,0.39,14,new_launch,medium
CUST00075,Champions,5,5,5,15,3,9,6791.61,4.0,-0.3525,0.0,0.3011111111111111,10,none,low
CUST00076,New / Low-Engagement,5,2,2,9,20,2,1385.27,0.0,,0.0,0.22000000000000003,17,bundle_discount,low
CUST00077,Dormant,2,1,1,4,109,1,394.32,0.0,,0.0,0.36,0,welcome_offer,high
CUST00078,New / Low-Engagement,2,1,2,5,139,1,894.45,1.0,-1.0,1.0,0.42,5,welcome_offer,high
CUST00079,New / Low-Engagement,1,1,1,3,191,1,619.57,0.0,,0.0,0.05,2,none,high
CUST00080,Loyal Customers,3,3,4,10,50,3,2563.41,0.0,,0.0,0.18999999999999997,11,none,medium
CUST00081,Champions,5,5,5,15,19,8,5311.16,3.0,-0.8333333333333334,0.25,0.16,12,bundle_discount,low
CUST00082,At-Risk,1,3,3,7,254,3,1671.25,0.0,,0.0,0.17,7,none,high
CUST00083,New / Low-Engagement,2,2,2,6,89,2,806.87,1.0,-1.0,0.5,0.33499999999999996,9,bundle_discount,high
CUST00084,New / Low-Engagement,1,1,2,4,167,1,1273.18,0.0,,0.0,0.12,11,bundle_discount,high
CUST00085,New / Low-Engagement,5,1,2,8,14,1,1257.8,0.0,,0.0,0.2,8,none,low
CUST00086,Loyal Customers,4,4,3,11,21,5,2195.41,1.0,-0.48,0.0,0.266,7,welcome_offer,medium
CUST00087,New / Low-Engagement,4,1,2,7,44,1,933.58,0.0,,0.0,0.38,1,new_launch,high
CUST00088,At-Risk,2,5,5,12,98,12,6774.5,1.0,-0.88,0.0,0.365,9,new_launch,high
CUST00089,New / Low-Engagement,1,2,4,7,165,2,2825.75,0.0,,0.0,0.25,12,none,high
CUST00090,Loyal Customers,3,4,3,10,80,4,1966.31,1.0,-0.55,0.0,0.375,5,new_launch,high
CUST00091,At-Risk,2,4,4,10,90,4,3726.87,1.0,0.12,0.0,0.16499999999999998,9,free_shipping,high
CUST00092,New / Low-Engagement,4,1,1,6,21,1,430.85,0.0,,0.0,0.26,1,new_launch,high
CUST00093,New / Low-Engagement,3,1,1,5,85,1,759.64,0.0,,0.0,0.12,16,none,high
CUST00094,At-Risk,1,4,4,9,183,4,3557.43,2.0,-0.16999999999999998,0.0,0.1975,6,new_launch,high
CUST00095,New / Low-Engagement,3,1,1,5,65,1,372.65,1.0,-0.38,0.0,0.41,10,welcome_offer,medium
CUST00096,Loyal Customers,3,3,3,9,61,3,1563.75,1.0,-1.0,0.3333333333333333,0.37666666666666665,12,new_launch,medium
CUST00097,Champions,5,5,5,15,1,7,4703.46,2.0,-0.49,0.14285714285714285,0.3685714285714286,0,new_launch,low
CUST00098,New / Low-Engagement,1,2,3,6,184,2,1843.57,1.0,-0.25,0.0,0.195,8,bundle_discount,high
CUST00099,At-Risk,2,4,4,10,144,5,3410.87,1.0,-0.61,0.0,0.192,4,welcome_offer,high
CUST00100,New / Low-Engagement,3,1,1,5,70,1,372.37,0.0,,0.0,0.29,1,bundle_discount,high
CUST00101,At-Risk,2,4,4,10,108,5,3514.87,2.0,-0.915,0.0,0.274,2,free_shipping,high
CUST00102,New / Low-Engagement,3,1,1,5,83,1,732.65,0.0,,0.0,0.16,2,welcome_offer,high
CUST00103,New / Low-Engagement,4,1,2,7,21,1,1469.96,0.0,,0.0,0.08,6,none,low
CUST00104,New / Low-Engagement,2,1,2,5,93,1,955.63,0.0,,0.0,0.31,3,bundle_discount,high
CUST00105,New / Low-Engagement,4,1,3,8,46,1,2052.43,0.0,,0.0,0.18,1,new_launch,high
CUST00106,Loyal Customers,3,5,5,13,61,7,4352.11,1.0,-1.0,0.0,0.2814285714285714,5,bundle_discount,medium
CUST00107,Loyal Customers,5,3,4,12,12,3,3548.15,0.0,,0.0,0.11333333333333334,2,free_shipping,low
CUST00108,New / Low-Engagement,4,1,2,7,44,1,1074.5,1.0,-0.73,1.0,0.22,5,new_launch,medium
CUST00109,At-Risk,2,4,4,10,92,5,3837.05,0.0,,0.0,0.332,1,free_shipping,high
CUST00110,Champions,4,5,4,13,35,6,3922.07,2.0,-0.565,0.0,0.26333333333333336,4,new_launch,medium
CUST00111,New / Low-Engagement,1,1,2,4,178,1,1135.09,0.0,,0.0,0.23,3,welcome_offer,high
CUST00112,Champions,5,5,5,15,0,8,5576.25,1.0,-0.31,0.125,0.23875,4,welcome_offer,low
CUST00113,New / Low-Engagement,4,2,3,9,28,2,1601.31,0.0,,0.0,0.385,17,free_shipping,low
CUST00114,At-Risk,1,5,5,11,239,6,5133.53,1.0,-0.75,0.0,0.265,3,new_launch,high
CUST00115,New / Low-Engagement,1,1,1,3,159,1,596.54,1.0,-0.77,0.0,0.14,12,welcome_offer,high
CUST00116,At-Risk,2,5,5,12,143,6,5635.9,0.0,,0.0,0.18666666666666668,10,new_launch,high
CUST00117,At-Risk,2,4,3,9,123,4,2534.33,0.0,,0.0,0.16499999999999998,2,bundle_discount,high
CUST00118,New / Low-Engagement,4,1,1,6,27,1,689.56,0.0,,0.0,0.18,2,none,low
CUST00119,Loyal Customers,3,3,4,10,69,3,2848.36,1.0,-0.07,0.0,0.3466666666666667,12,free_shipping,medium
CUST00120,New / Low-Engagement,4,1,1,6,26,1,261.95,0.0,,0.0,0.27,6,bundle_discount,low
CUST00121,New / Low-Engagement,4,2,3,9,27,2,2496.0299999999997,0.0,,0.0,0.19,5,free_shipping,low
CUST00122,New / Low-Engagement,2,2,3,7,106,2,2048.93,0.0,,0.0,0.36,10,none,high
CUST00123,At-Risk,2,5,4,11,102,6,2989.07,3.0,-0.47000000000000003,0.16666666666666666,0.34833333333333333,2,new_launch,high
CUST00124,At-Risk,1,4,4,9,194,4,2570.5,0.0,,0.0,0.3375,5,new_launch,high
CUST00125,New / Low-Engagement,5,2,3,10,8,2,1698.4,0.0,,0.0,0.395,0,none,low
CUST00126,Discount-Sensitive,3,2,2,7,57,2,1260.02,0.0,,0.0,0.43,5,new_launch,medium
CUST00127,New / Low-Engagement,4,2,1,7,24,2,729.55,0.0,,0.0,0.29500000000000004,3,welcome_offer,low
CUST00128,Discount-Sensitive,5,2,3,10,19,2,1716.68,0.0,,0.0,0.42000000000000004,15,free_shipping,low
CUST00129,Loyal Customers,3,3,4,10,83,3,3369.08,2.0,0.485,0.3333333333333333,0.3133333333333333,7,bundle_discount,high
CUST00130,New / Low-Engagement,2,1,2,5,88,1,1272.47,0.0,,0.0,0.48,9,new_launch,high
CUST00131,Loyal Customers,3,5,5,13,67,6,6830.01,0.0,,0.0,0.29,4,welcome_offer,medium
CUST00132,At-Risk,2,4,5,11,117,5,4876.780000000001,0.0,,0.0,0.346,1,welcome_offer,high
CUST00133,Loyal Customers,3,5,5,13,54,8,5982.58,1.0,-0.53,0.0,0.3,5,free_shipping,medium
CUST00134,Champions,4,4,5,13,35,5,4075.34,3.0,-0.31666666666666665,0.2,0.292,11,new_launch,low
CUST00135,At-Risk,1,4,3,8,333,4,2534.18,0.0,,0.0,0.29000000000000004,3,new_launch,high
CUST00136,New / Low-Engagement,3,1,1,5,71,1,514.9,0.0,,0.0,0.3,7,new_launch,medium
CUST00137,New / Low-Engagement,1,2,2,5,177,2,1035.87,0.0,,0.0,0.315,4,none,high
CUST00138,New / Low-Engagement,3,1,2,6,61,1,905.11,0.0,,0.0,0.46,5,bundle_discount,medium
CUST00139,New / Low-Engagement,4,2,3,9,28,2,1715.4,2.0,-0.705,0.0,0.295,5,none,medium
CUST00140,Champions,5,4,4,13,6,4,3768.34,2.0,-0.06999999999999999,0.0,0.28250000000000003,14,new_launch,medium
CUST00141,New / Low-Engagement,4,1,1,6,28,1,647.85,0.0,,0.0,0.23,4,none,low
CUST00142,At-Risk,1,4,3,8,169,5,1880.0,0.0,,0.0,0.4,2,new_launch,high
CUST00143,Champions,4,5,5,14,32,6,7407.96,0.0,,0.0,0.17333333333333334,5,free_shipping,low
CUST00144,At-Risk,2,5,5,12,86,9,6186.54,3.0,-0.08666666666666666,0.1111111111111111,0.31555555555555553,8,free_shipping,high
CUST00145,New / Low-Engagement,4,1,1,6,30,1,502.35,0.0,,0.0,0.11,0,none,high
CUST00146,At-Risk,2,4,5,11,108,5,5942.68,1.0,-0.25,0.2,0.188,4,free_shipping,high
CUST00147,Loyal Customers,3,3,4,10,84,3,2809.3199999999997,1.0,0.03,0.0,0.18333333333333335,1,new_launch,high
CUST00148,Champions,5,4,4,13,4,4,3013.01,1.0,-0.61,0.0,0.23249999999999998,5,bundle_discount,low
CUST00149,New / Low-Engagement,5,1,2,8,8,1,787.94,0.0,,0.0,0.2,8,bundle_discount,low
CUST00150,New / Low-Engagement,4,3,2,9,45,3,1355.63,0.0,,0.0,0.39666666666666667,6,welcome_offer,medium
CUST00151,High-Value Unhappy,3,5,5,13,62,7,5530.69,3.0,-0.91,0.0,0.30428571428571427,7,none,medium
CUST00152,Champions,4,5,5,14,46,7,4989.280000000001,4.0,-0.6925,0.14285714285714285,0.3742857142857143,19,bundle_discount,medium
CUST00153,New / Low-Engagement,5,1,2,8,3,1,977.12,0.0,,0.0,0.37,6,welcome_offer,low
CUST00154,Champions,5,5,5,15,10,8,7145.24,0.0,,0.0,0.23375,8,new_launch,low
CUST00155,Loyal Customers,5,3,3,11,2,3,2024.8,0.0,,0.0,0.39666666666666667,6,none,low
CUST00156,New / Low-Engagement,4,2,5,11,34,2,4241.75,1.0,0.43,0.5,0.14500000000000002,14,welcome_offer,medium
CUST00157,Loyal Customers,5,4,3,12,0,5,2269.91,1.0,-0.21,0.0,0.238,3,welcome_offer,low
CUST00158,New / Low-Engagement,1,1,2,4,155,1,812.34,0.0,,0.0,0.25,8,free_shipping,high
CUST00159,Dormant,1,2,4,7,474,2,3713.77,0.0,,0.0,0.27,0,free_shipping,high
CUST00160,New / Low-Engagement,1,2,2,5,177,2,1064.66,1.0,-0.6,0.0,0.28500000000000003,4,welcome_offer,high
CUST00161,Champions,5,4,5,14,20,4,4490.9,0.0,,0.0,0.2625,7,welcome_offer,low
CUST00162,New / Low-Engagement,2,2,2,6,91,2,1194.5900000000001,0.0,,0.0,0.29000000000000004,2,none,high
CUST00163,New / Low-Engagement,3,1,1,5,70,1,275.41,0.0,,0.0,0.37,3,free_shipping,medium
CUST00164,At-Risk,1,4,5,10,222,5,4657.03,1.0,-0.19,0.0,0.24,1,free_shipping,high
CUST00165,At-Risk,2,3,3,8,103,3,1825.77,0.0,,0.0,0.31,2,welcome_offer,high
CUST00166,New / Low-Engagement,5,1,2,8,15,1,1269.41,1.0,0.22,0.0,0.37,1,new_launch,high
CUST00167,Dormant,1,1,1,3,219,1,423.24,0.0,,0.0,0.24,0,bundle_discount,high
CUST00168,Loyal Customers,3,4,5,12,85,4,4159.16,0.0,,0.0,0.1625,2,bundle_discount,high
CUST00169,New / Low-Engagement,1,1,3,5,222,1,1799.45,0.0,,0.0,0.12,1,new_launch,high
CUST00170,Champions,5,5,5,15,9,10,6759.48,1.0,-0.48,0.0,0.27,5,new_launch,low
CUST00171,New / Low-Engagement,5,1,2,8,12,1,1077.78,0.0,,0.0,0.38,9,none,low
CUST00172,Champions,5,5,5,15,8,7,4910.65,3.0,-0.39999999999999997,0.0,0.36428571428571427,5,new_launch,medium
CUST00173,New / Low-Engagement,3,4,2,9,79,5,1431.69,1.0,-0.46,0.0,0.384,10,bundle_discount,high
CUST00174,At-Risk,2,5,3,10,86,6,2361.28,2.0,-0.445,0.16666666666666666,0.31166666666666665,14,free_shipping,high
CUST00175,Loyal Customers,3,4,4,11,59,4,3568.3199999999997,1.0,-0.49,0.0,0.225,5,free_shipping,medium
CUST00176,Loyal Customers,4,3,4,11,37,3,3830.31,0.0,,0.0,0.3433333333333333,12,bundle_discount,medium
CUST00177,Discount-Sensitive,3,2,2,7,82,2,1003.66,0.0,,0.0,0.45999999999999996,12,free_shipping,high
CUST00178,Champions,5,5,5,15,5,8,5602.76,4.0,-0.6875,0.25,0.27625,10,none,medium
CUST00179,High-Value Unhappy,4,3,3,10,38,3,1585.62,2.0,-0.15000000000000002,0.0,0.44333333333333336,11,free_shipping,medium
CUST00180,New / Low-Engagement,2,2,3,7,96,2,1570.85,1.0,-0.38,0.5,0.26,9,welcome_offer,high
CUST00181,New / Low-Engagement,5,1,2,8,6,1,1107.73,0.0,,0.0,0.0,7,free_shipping,low
CUST00182,New / Low-Engagement,4,1,1,6,31,1,305.3,0.0,,0.0,0.31,12,none,low
CUST00183,At-Risk,1,3,4,8,152,3,3246.8900000000003,1.0,-1.0,0.0,0.25,1,free_shipping,high
CUST00184,Champions,5,4,5,14,14,5,5072.85,2.0,-0.32,0.0,0.27199999999999996,6,none,low
CUST00185,At-Risk,2,5,5,12,114,7,4179.18,0.0,,0.0,0.33428571428571424,11,new_launch,high
CUST00186,New / Low-Engagement,4,1,1,6,41,1,714.65,1.0,-0.09,0.0,0.33,2,none,medium
CUST00187,At-Risk,1,3,2,6,149,3,1344.75,1.0,-0.5,0.0,0.5099999999999999,0,none,high
CUST00188,Champions,4,5,5,14,29,7,5810.17,3.0,-0.81,0.14285714285714285,0.3085714285714286,11,bundle_discount,medium
CUST00189,At-Risk,2,5,5,12,140,9,5900.65,3.0,-0.07,0.1111111111111111,0.23333333333333334,10,new_launch,high
CUST00190,New / Low-Engagement,5,1,1,7,6,1,482.88,1.0,-1.0,0.0,0.13,6,free_shipping,medium
CUST00191,New / Low-Engagement,4,1,1,6,28,1,149.0,0.0,,0.0,0.34,6,welcome_offer,low
CUST00192,Loyal Customers,3,3,3,9,55,3,2263.95,0.0,,0.0,0.28,8,none,medium
CUST00193,New / Low-Engagement,1,1,1,3,157,1,424.74,0.0,,0.0,0.21,3,free_shipping,high
CUST00194,High-Value Unhappy,3,4,4,11,80,5,3878.09,3.0,-0.42,0.4,0.36,13,none,high
CUST00195,New / Low-Engagement,4,1,1,6,23,1,654.27,1.0,-1.0,0.0,0.17,5,new_launch,medium
CUST00196,New / Low-Engagement,4,2,2,8,24,2,1272.38,1.0,-0.51,0.0,0.28,1,free_shipping,medium
CUST00197,Champions,5,5,5,15,15,9,8552.59,3.0,-0.91,0.0,0.30444444444444446,11,bundle_discount,medium
CUST00198,Champions,4,5,5,14,37,9,7595.96,2.0,-0.775,0.0,0.28444444444444444,1,new_launch,medium
CUST00199,Champions,5,4,4,13,6,4,3273.56,1.0,-1.0,0.0,0.22749999999999998,3,welcome_offer,medium
CUST00200,Champions,5,5,5,15,15,6,6239.45,1.0,-0.04,0.0,0.17166666666666666,7,none,low
CUST00201,At-Risk,2,5,5,12,93,7,6691.56,2.0,-0.355,0.0,0.23857142857142857,3,none,high
CUST00202,New / Low-Engagement,2,1,2,5,141,1,1220.26,0.0,,0.0,0.33,9,bundle_discount,high
CUST00203,New / Low-Engagement,2,2,1,5,114,2,743.3499999999999,0.0,,0.0,0.39,6,welcome_offer,high
CUST00204,Champions,4,4,4,12,42,5,2706.75,0.0,,0.0,0.284,17,welcome_offer,medium
CUST00205,Champions,4,4,4,12,30,5,3202.69,0.0,,0.0,0.23399999999999999,13,none,low
CUST00206,At-Risk,2,5,5,12,118,10,6479.7,3.0,-0.7133333333333333,0.1,0.265,7,bundle_discount,high
CUST00207,New / Low-Engagement,5,1,1,7,18,1,193.1,0.0,,0.0,0.62,11,none,low
CUST00208,At-Risk,2,5,5,12,91,6,6865.35,1.0,-0.8,0.0,0.20000000000000004,2,free_shipping,high
CUST00209,At-Risk,1,4,4,9,279,5,3422.88,1.0,-1.0,0.2,0.192,3,bundle_discount,high
CUST00210,New / Low-Engagement,2,2,2,6,128,2,1254.8700000000001,0.0,,0.0,0.27,3,none,high
CUST00211,At-Risk,2,4,5,11,90,5,27215.920000000002,1.0,-0.03,0.0,0.324,4,bundle_discount,high
CUST00212,At-Risk,1,3,3,7,204,3,2071.6800000000003,0.0,,0.0,0.32666666666666666,3,new_launch,high
CUST00213,New / Low-Engagement,2,2,3,7,86,2,1680.61,2.0,-0.675,1.0,0.2,2,bundle_discount,high
CUST00214,New / Low-Engagement,3,1,2,6,64,1,1427.16,0.0,,0.0,0.22,3,free_shipping,medium
CUST00215,Loyal Customers,4,3,3,10,34,3,1564.1,1.0,-0.89,0.0,0.19666666666666666,8,none,low
CUST00216,New / Low-Engagement,3,1,2,6,48,1,1349.42,1.0,-1.0,1.0,0.27,7,free_shipping,medium
CUST00217,New / Low-Engagement,3,3,2,8,79,3,1179.94,0.0,,0.0,0.35333333333333333,2,bundle_discount,high
CUST00218,New / Low-Engagement,4,2,2,8,23,2,1492.68,0.0,,0.0,0.13,1,none,high
CUST00219,At-Risk,1,5,4,10,154,6,2782.79,1.0,-1.0,0.0,0.36166666666666664,3,welcome_offer,high
CUST00220,New / Low-Engagement,4,3,2,9,25,3,1450.4099999999999,1.0,0.57,0.0,0.21666666666666667,14,none,medium
CUST00221,New / Low-Engagement,5,2,2,9,7,2,781.03,0.0,,0.0,0.345,16,welcome_offer,low
CUST00222,Discount-Sensitive,1,2,2,5,186,2,1259.5,1.0,-0.6,0.0,0.45,1,welcome_offer,high
CUST00223,New / Low-Engagement,2,1,1,4,103,1,757.58,1.0,-0.61,0.0,0.53,1,welcome_offer,high
CUST00224,New / Low-Engagement,2,2,3,7,89,2,1839.95,1.0,-0.78,0.5,0.32,1,free_shipping,high
CUST00225,At-Risk,2,3,4,9,88,3,3012.6,0.0,,0.0,0.32,3,bundle_discount,high
CUST00226,Loyal Customers,3,3,3,9,54,3,2345.42,1.0,-0.93,0.3333333333333333,0.15666666666666668,6,new_launch,medium
CUST00227,At-Risk,1,5,5,11,153,6,4383.02,2.0,-0.615,0.16666666666666666,0.2816666666666667,0,bundle_discount,high
CUST00228,High-Value Unhappy,3,5,5,13,82,7,4150.72,2.0,-0.64,0.14285714285714285,0.33428571428571424,6,free_shipping,high
CUST00229,At-Risk,2,4,4,10,92,5,3077.41,1.0,0.56,0.0,0.304,8,new_launch,high
CUST00230,Champions,4,5,5,14,37,8,7503.74,2.0,0.125,0.0,0.2175,17,none,medium
CUST00231,Loyal Customers,4,3,3,10,23,3,1558.41,0.0,,0.0,0.19333333333333333,6,free_shipping,low
CUST00232,New / Low-Engagement,3,1,2,6,55,1,786.26,0.0,,0.0,0.33,2,bundle_discount,medium
CUST00233,At-Risk,1,3,3,7,361,3,1626.9899999999998,0.0,,0.0,0.2866666666666667,5,new_launch,high
CUST00234,Loyal Customers,5,4,3,12,17,4,2458.9700000000003,0.0,,0.0,0.195,6,welcome_offer,low
CUST00235,At-Risk,2,4,3,9,125,4,2278.82,0.0,,0.0,0.225,2,none,high
CUST00236,New / Low-Engagement,3,1,2,6,62,1,782.89,1.0,0.15,0.0,0.37,8,free_shipping,medium
CUST00237,Champions,5,4,4,13,15,4,3607.29,0.0,,0.0,0.2525,8,welcome_offer,low
CUST00238,New / Low-Engagement,3,2,3,8,78,2,2181.78,2.0,-0.27,0.0,0.185,1,bundle_discount,high
